row,trilogy_flag,group,width,height,sha256,pixel_sha256,ink_pixels,canvas_ink_fraction,blank,bbox,bbox_width,bbox_height,bbox_ratio,bbox_ink_fraction,bbox_width_fraction,bbox_height_fraction,bbox_shape_sha256,components_raw,components_ge4px,component_areas,holes_raw,holes_ge4px,hole_areas,padding_left_fraction,padding_right_fraction,padding_top_fraction,padding_bottom_fraction,stroke_width_px_min,stroke_width_px_p10,stroke_width_px_p25,stroke_width_px_median,stroke_width_px_p75,stroke_width_px_p90,stroke_width_px_max,stroke_width_median_canvas_fraction,skeleton_pixels,qualified_orientation_samples,horizontal_skeleton_fraction,vertical_skeleton_fraction,diagonal_skeleton_fraction,orientation_histogram_15deg,horizontal_mirror_iou,vertical_mirror_iou,rotation_180_iou,threshold_96_160_ink_change_fraction,threshold96_components,threshold160_components,threshold96_holes,threshold160_holes,component_gap_center_distance_min_px,counter_width_median_px,stroke_width_p90_p10_ratio
124,N,new-only,128,128,21d21ab10c2d32ce4c756e36e7c7b3ca1c9f02bfe2ef53b71376560478352cf0,b60e6bcd1a153ee10dc2e6089231740bf941fe4cd366251514ea817387e4fbec,4166,0.2542724609375,False,"[22,18,106,110]",84,92,0.9130434782608695,0.5390786749482401,0.65625,0.71875,5279b8e8157db0423b5ea23ace1b9b371ace82dd1a84b025b36e438ed2cb9311,1,1,[4166],1,1,[964],0.171875,0.171875,0.140625,0.140625,11.6619,12.64911,13.41641,14.14214,20.0,20.0,22.80351,0.11048543456039805,266,258,0.19767441860465115,0.34108527131782945,0.12790697674418605,"[31,2,5,4,5,23,76,10,12,22,30,38]",0.5215485756026297,0.4841467759173495,0.44302043643921024,0.0256841094575132,1,1,1,1,,16.308468999533872,1.5811389101683833
125,N,new-only,128,128,6569028be2b4f334637026fffc5039fd7193f84bfffcf38268f623b2804f9953,356e97ee0a0f62dd36ff4281e0cf5ce000d2c7a2708e3950a81d3537c848ccae,3020,0.184326171875,False,"[30,18,98,110]",68,92,0.7391304347826086,0.4827365728900256,0.53125,0.71875,04376f842f1239088d359eb2fab1075aafd5e99b9ed6a9c50d08ae950a8f60fb,1,1,[3020],0,0,[],0.234375,0.234375,0.140625,0.140625,8.0,15.09728,17.88854,19.79899,20.73594,21.54066,24.16609,0.15467960838455727,139,134,0.007462686567164179,0.1417910447761194,0.2537313432835821,"[5,12,8,7,7,10,16,29,13,17,10,0]",0.5762004175365344,0.4631782945736434,0.45122537241710714,0.039735099337748346,1,1,0,0,,,1.426790786154857
126,N,new-only,128,128,2c561c988761357febad45cdefa282c1742cd75e3ea5a5e7d02c25673a3335b0,0fc5a263a5d0d5955770c1984833a5ff9fb04fd445d0c6e97630944f87cfe154,4542,0.2772216796875,False,"[20,18,108,110]",88,92,0.9565217391304348,0.5610177865612648,0.6875,0.71875,f194d580065c01cdb84397f92d702716a0729ab0f47113cc262d939985f0507e,1,1,[4542],1,1,[224],0.15625,0.15625,0.140625,0.140625,6.0,13.41641,14.56022,17.08801,18.97367,20.88061,24.41311,0.1335000585205864,271,255,0.1411764705882353,0.3333333333333333,0.10588235294117647,"[27,7,9,7,9,17,88,28,16,7,16,24]",0.3562257390265751,0.5375761679079215,0.43461781427668983,0.04711580801409071,1,1,1,1,,14.422205101855956,1.5563485313880538
127,N,new-only,128,128,876aa14c3e7cd9a049bbf91ccecab8b982fefb019a2ab1e69fe51b82e39dd3b3,fb8b8e61cd4cd7f2b7ff2cd82c09fbc618eb1784fbcabc8e1b50663ce883ca65,4920,0.30029296875,False,"[24,16,104,112]",80,96,0.8333333333333334,0.640625,0.625,0.75,9378216d5ff9adbc255e7f968a9e2f765846550ad92a2ad52dc11134d6f578c5,1,1,[4920],1,1,[282],0.1875,0.1875,0.125,0.125,6.0,12.0,16.0,17.08801,22.80351,28.0,31.04835,0.1335000585205864,269,254,0.3661417322834646,0.1732283464566929,0.11811023622047244,"[62,13,8,10,14,10,41,12,7,15,16,46]",0.7281348788198103,0.41095497562374533,0.40853134841110794,0.023577235772357725,1,1,1,1,,11.216116701979804,2.3333333333333335
128,N,new-only,128,128,ce69843aa7794f3a6d0373ffb487b06cddb9e13d4ed66e39cb4b1f7aa768ecc3,18fb7ab327fdf62fa38308b0b2a74a77889a9d19f5b611b0758251643e92fbc8,2420,0.147705078125,False,"[46,17,82,111]",36,94,0.3829787234042553,0.7151300236406619,0.28125,0.734375,2b275700135033176eabfdb4530d2c6e17e8284d770e7d7f79477ca6eb79d30b,3,3,"[1030,1030,360]",2,2,"[128,128]",0.359375,0.359375,0.1328125,0.1328125,10.0,10.0,12.0,12.0,12.64911,14.0,14.42221,0.09375,190,190,0.3684210526315789,0.24736842105263157,0.16842105263157894,"[62,7,8,10,7,20,31,8,9,9,7,12]",1.0,1.0,1.0,0.04297520661157025,3,3,2,2,8.0,12.0,1.4
129,N,new-only,128,128,a226512e840ea111fd01ace2301e48a01b628d89eb06bf43db8eedd15e6b8c03,e636aa442e6edd715f147b603eda4c49276b6de43e510d1ea6fdd9867ed41b5e,4396,0.268310546875,False,"[21,18,106,110]",85,92,0.9239130434782609,0.5621483375959079,0.6640625,0.71875,823515fbb5b23feaaf2e9e3a7a299874a115295fe9741cec6fadc2700f83ce16,1,1,[4396],1,1,[135],0.1640625,0.171875,0.140625,0.140625,4.47214,12.0,14.42221,18.0,24.0,24.08319,30.0,0.140625,267,243,0.32098765432098764,0.24691358024691357,0.16049382716049382,"[60,8,0,2,2,6,58,29,16,32,11,19]",0.4754153381439839,0.45804311774461026,0.5317073170731708,0.0359417652411283,1,1,1,1,,10.0,2.0069325
130,N,new-only,128,128,75af798ae961acfffdf8f9d79143a6860d502aee86eaae83c0d3aa1e01378116,d17c311ca4b10a3c5053ec57a5bfe7587d8b4535df2fada9cf2163ecd4a24d42,3282,0.2003173828125,False,"[33,18,95,110]",62,92,0.6739130434782609,0.5753856942496494,0.484375,0.71875,9caf0dd2f6ab9847d87af25e8e461e5e08c933b62c28d58c1ff0d7daa945d6c8,1,1,[3282],1,1,[135],0.2578125,0.2578125,0.140625,0.140625,12.0,14.0,14.56022,16.0,18.0,20.0,26.0,0.125,193,181,0.2596685082872928,0.3812154696132597,0.08287292817679558,"[18,6,2,3,7,10,73,7,7,8,7,33]",0.42016443098225875,0.5824493731918997,0.3859797297297297,0.032602071907373555,1,1,1,1,,10.0,1.4285714285714286
131,N,new-only,128,128,dd3dd07079bf1671767c837a9ce95b3e7f5f1fc4985b85729d03f60207229b71,36fb633a54b807965f20e0be6c9f39b4c500d2ecb6675ee873597f03b385e3db,4853,0.29620361328125,False,"[21,18,107,110]",86,92,0.9347826086956522,0.6133720930232558,0.671875,0.71875,0cd90d41c01c70aa359bd9c46f920dbf0e88c50d35cda9d5fafb7571b9b91ba9,1,1,[4853],2,2,"[290,132]",0.1640625,0.1640625,0.140625,0.140625,12.0,12.16553,14.42221,16.0,18.11077,23.01163,26.0,0.125,317,290,0.3413793103448276,0.35517241379310344,0.05862068965517241,"[71,10,4,5,7,16,100,14,6,9,13,35]",0.41569428238039674,0.4202516827626573,0.5833605220228385,0.0377086338347414,1,1,2,2,,13.0,1.8915435661249447
132,N,new-only,128,128,3e5e24ebbaf506df1c9068baf79a6f489f731c4b64db00478e1bb4e2c1ac079e,99b7941b8091aafda419b22d6e531ef2a14e9d2219b4c04c9495b1ede3906c6e,3652,0.222900390625,False,"[31,18,97,110]",66,92,0.717391304347826,0.6014492753623188,0.515625,0.71875,d619d79a02d656231e359f9a5c41e17976068a64cffab9e7fda6423d0650843b,1,1,[3652],2,2,"[324,139]",0.2421875,0.2421875,0.140625,0.140625,8.0,8.0,13.41641,16.0,18.0,18.11077,23.32381,0.125,260,237,0.4008438818565401,0.3291139240506329,0.06751054852320675,"[68,5,3,5,6,9,77,6,6,8,9,35]",0.6245551601423488,0.4803404945277665,0.43949546708711074,0.05449069003285871,1,1,2,2,,14.0,2.26384625
133,N,new-only,128,128,c8a49af2dd3d1cdf42d115bc08cef624b8a43a01f36ea82320be645737da381f,686223a9f51aa917c1d6d81ecf18c29c5399c4dc09c61f820f34ea1f5f2c52c3,3753,0.22906494140625,False,"[33,18,95,110]",62,92,0.6739130434782609,0.6579593267882188,0.484375,0.71875,9a2cd6d6f301499ebd2f8cb7c97fb2da729dd01db1a0ba2e2cdc287267e24a31,2,2,"[2285,1468]",1,1,[171],0.2578125,0.2578125,0.140625,0.140625,12.0,12.0,16.0,17.08801,18.43909,22.0,24.08319,0.1335000585205864,189,185,0.3783783783783784,0.2864864864864865,0.10270270270270271,"[58,2,1,3,2,8,52,14,9,9,10,17]",0.5337147527584798,0.5709501883633319,0.4473582722715002,0.03224087396749267,2,2,1,1,11.0,12.0,1.8333333333333333
